feature,brugada_mean,normal_mean,effect_size,abs_effect,p_value
st_V3_st_j20_std,0.017858394886663048,0.02169082141418905,-0.20895096549170147,0.20895096549170147,0.08038660608987874
st_V1_rs_ratio_mean,-0.8775755898852714,-1.836448855575344,0.207675482925465,0.207675482925465,0.001391400676345566
st_V3_st_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_saddleback_score_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_j60_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_t_peak_value_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_monotonicity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_j_point_confidence_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_slope_j0_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_r_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_rs_ratio_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_area_above_baseline_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_j20_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_j40_j0_ratio_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_t_mean_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V1_high_takeoff_gt_1mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_curvature_sign_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_j80_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_t_polarity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V3_st_monotonicity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_monotonicity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_rs_ratio_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_t_polarity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_j_point_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_s_amplitude_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_convexity_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V2_st_area_above_baseline_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
st_V1_st_j40_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V3_high_takeoff_gt_2mm_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_saddleback_score_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
morph_V2_t_mean_n_valid,13.162162162162161,12.623693379790941,0.2074073943562349,0.2074073943562349,0.11286986922085472
