feature,mean_FP,mean_TN,std_FP,std_TN,mean_difference,cohen_d,abs_cohen_d
st_V3_j_point_amplitude_std,0.016633024575744487,0.021552341651828316,0.008099219953465853,0.01995783699460963,-0.00491931707608383,-0.24907200685808614,0.24907200685808614
morph_V2_t_mean_std,0.007803136907749237,0.015255176813652311,0.004356071731191055,0.03048127356117041,-0.007452039905903074,-0.24749606093208687,0.24749606093208687
st_V1_st_j40_max,0.11606249999999999,0.13524007220216608,0.08547603373899612,0.0772763288044702,-0.019177572202166093,-0.2474857092225329,0.2474857092225329
st_V1_st_slope_j0_j40_std,0.00039034989787890335,0.0005954571314279852,0.0002947481767442941,0.000841035306749609,-0.00020510723354908187,-0.2465642209533366,0.2465642209533366
morph_V1_t_peak_value_std,0.010656363826254475,0.019064002800472424,0.00587670805748055,0.03463959549655076,-0.00840763897421795,-0.2456865964660916,0.2456865964660916
morph_V3_covedness_score_std,0.04324057745354552,0.05503512366890158,0.047531716462745614,0.0481049042532879,-0.011794546215356055,-0.24525572544280116,0.24525572544280116
morph_V1_t_mean_min,0.014999999999999965,0.004590191281842888,0.0204440124395408,0.04290955985864968,0.010409808718157077,0.24495188507101032,0.24495188507101032
sq_III_noise_energy,3.931112190318231e-05,5.8747899869411874e-05,4.213265786952293e-05,8.115268992263652e-05,-1.9436777966229565e-05,-0.24170219756372194,0.24170219756372194
st_V1_st_j40_j0_ratio_max,0.8241453507991128,1.3376810832908623,0.11958853592550255,2.151577348299817,-0.5135357324917496,-0.24167702581669262,0.24167702581669262
st_V1_st_convexity_std,0.0009292948808190001,0.0011748616655391949,0.001088916287566668,0.001017941670744805,-0.00024556678472019476,-0.24080916377771122,0.24080916377771122
st_V1_st_monotonicity_min,0.625,0.5615359369872005,0.20039991009714095,0.26559608701596593,0.0634640630127995,0.24023256759002629,0.24023256759002629
st_V2_st_j80_std,0.0148209380934051,0.031144951606919855,0.005361719146700373,0.06914974700296542,-0.016324013513514757,-0.23902422489056122,0.23902422489056122
sq_II_snr_proxy,922.077065008277,1425.3205214172772,549.4417198395834,2150.2128634513024,-503.24345640900015,-0.23679692137473263,0.23679692137473263
sq_V1_mean,-0.017204479166666627,-0.013518035499398284,0.011915105039996439,0.015680340475123837,-0.0036864436672683423,-0.23633815625758464,0.23633815625758464
morph_V2_t_amplitude_max,0.05524999999999998,0.09453429602888085,0.03142351826260071,0.17027321879963656,-0.039284296028880866,-0.2335198581673138,0.2335198581673138
sq_V3_baseline_drift,5.473884200460317e-05,8.30550947027344e-05,4.238147435874728e-05,0.00012492275231129125,-2.8316252698131224e-05,-0.22919226035824083,0.22919226035824083
morph_V2_saddleback_score_median,0.0015989583333333123,0.011739771359807433,0.0017199727342598092,0.04487833961047589,-0.010140813026474122,-0.22880556451786987,0.22880556451786987
morph_V1_t_peak_value_max,0.05193749999999996,0.06121119133574005,0.02431233933108865,0.04112808623850727,-0.009273691335740089,-0.22731954700476345,0.22731954700476345
st_V3_st_convexity_std,0.0006735081424850125,0.0011882549082053119,0.0004179940852962719,0.0022999556806953263,-0.0005147467657202994,-0.2265327551420969,0.2265327551420969
sq_V2_noise_energy,5.997428362563973e-05,0.00010103751826933064,7.531402106007192e-05,0.00018482966547849267,-4.106323464369091e-05,-0.22449550186019368,0.22449550186019368
morph_V1_t_mean_std,0.007980263548741377,0.010800020923353741,0.00216536309902879,0.012743918040737613,-0.0028197573746123646,-0.22396930673726326,0.22396930673726326
morph_V1_t_amplitude_mean,0.03762636634199131,0.04286994800988053,0.02266532710263342,0.0237136757961194,-0.00524358166788922,-0.22135740711670016,0.22135740711670016
st_V2_j_point_amplitude_std,0.018020454958559324,0.03297284622316406,0.00878234162874947,0.06857661568041772,-0.014952391264604733,-0.22074098395706626,0.22074098395706626
morph_V2_t_mean_max,0.01855681818181815,0.0347102071302379,0.023701306651395217,0.07407440176518751,-0.016153388948419747,-0.22053172304906415,0.22053172304906415
morph_V1_high_takeoff_gt_1mm_mean,0.5611742424242424,0.651074811788339,0.401088922925085,0.40807565151596775,-0.08990056936409663,-0.22039624034185426,0.22039624034185426
st_V1_high_takeoff_gt_1mm_mean,0.5611742424242424,0.651074811788339,0.401088922925085,0.40807565151596775,-0.08990056936409663,-0.22039624034185426,0.22039624034185426
morph_V3_saddleback_score_mean,0.0021860750360749998,0.016511440579920062,0.0016591532389384808,0.066018443580175,-0.014325365543845062,-0.21972305547095888,0.21972305547095888
st_V2_s_amplitude_std,0.0717525631015343,0.09433417601016107,0.04235711089725141,0.10694491157237668,-0.022581612908626772,-0.21338864184008735,0.21338864184008735
st_V1_st_j80_j0_ratio_max,0.7075852135758645,1.1624005963497868,0.24633903104333382,2.1748227059501968,-0.4548153827739223,-0.2117284979510393,0.2117284979510393
sq_II_baseline_drift,2.5446593385313853e-05,3.794686114250551e-05,2.4029818015669826e-05,5.976247606766722e-05,-1.2500267757191655e-05,-0.21136877299369464,0.21136877299369464
sq_V5_snr_proxy,1244.0782465738407,1863.0338005156161,654.8467684414533,2964.9448722917286,-618.9555539417754,-0.21125793608965077,0.21125793608965077
morph_V2_t_polarity_mean,0.36093073593073594,0.19215984549081305,0.7768239276277218,0.8026791221584799,0.16877089043992288,0.21042449300234578,0.21042449300234578
rr_mean_ms,911.3059163059163,879.6460768273353,123.77434356201387,152.1337906923202,31.659839478581034,0.20898085109083223,0.20898085109083223
st_V2_st_j20_std,0.017130351218740077,0.03149535550601269,0.00791302026458969,0.06962226841720671,-0.014365004287272616,-0.20889360083320604,0.20889360083320604
