feature,mean_FN,mean_TP,std_FN,std_TP,mean_difference,cohen_d,abs_cohen_d
st_V1_s_amplitude_max,-0.37405172413793114,-0.4027127659574467,0.2765284591211616,0.28153448722422053,0.028661041819515565,0.10248866207306719,0.10248866207306719
sq_V5_baseline_drift,5.7233056386699366e-05,7.17020998974884e-05,7.107972484115197e-05,0.0001713447855841945,-1.446904351078904e-05,-0.10189997218816269,0.10189997218816269
st_V2_st_j40_j0_ratio_min,0.36503754427172885,0.45194262762542353,0.8937296775700191,0.8273171552382188,-0.08690508335369468,-0.10187518385000223,0.10187518385000223
morph_V2_high_takeoff_gt_2mm_median,0.3448275862068966,0.2978723404255319,0.4753120259341455,0.4573230906426528,0.046955245781364674,0.10115049964442456,0.10115049964442456
st_V2_high_takeoff_gt_2mm_median,0.3448275862068966,0.2978723404255319,0.4753120259341455,0.4573230906426528,0.046955245781364674,0.10115049964442456,0.10115049964442456
sq_aVF_std,0.1540210148165258,0.16189410381699199,0.061047807705393094,0.08700214692851364,-0.007873089000466182,-0.10067724122680106,0.10067724122680106
st_V3_st_j80_max,0.22562068965517246,0.24135106382978722,0.1781036919583071,0.1436545396226218,-0.01573037417461476,-0.09982623639353928,0.09982623639353928
st_V1_st_j60_std,0.018560924149000225,0.019682335056943057,0.01083290034732063,0.011580886183932802,-0.0011214109079428318,-0.0992075344760723,0.0992075344760723
sq_III_noise_energy,8.931451182060595e-05,7.724360613128087e-05,0.0001425689129295299,0.00010831975992977646,1.2070905689325076e-05,0.09860958719437615,0.09860958719437615
morph_V1_covedness_score_std,0.01833441398802715,0.02039705078535145,0.019009717725072824,0.022074514612497497,-0.0020626367973243,-0.09837251905206865,0.09837251905206865
st_V3_st_curvature_sign_median,0.896551724137931,0.851063829787234,0.4021346134376069,0.5043944506863701,0.045487894350697,0.09712686612729944,0.09712686612729944
st_V2_st_j80_median,0.16287068965517235,0.17696808510638298,0.1656882019384402,0.13197092903021915,-0.014097395451210637,-0.09678974910277939,0.09678974910277939
st_V3_r_amplitude_min,0.016775862068965527,0.10387234042553192,0.898086582745236,0.9227265763848264,-0.08709647835656639,-0.09534563987439995,0.09534563987439995
sq_V3_snr_proxy,1468.5708235860218,1677.2790105531092,2210.330773567985,2176.5689365044614,-208.70818696708739,-0.0953264449186182,0.0953264449186182
st_V1_st_curvature_sign_max,0.5862068965517241,0.6595744680851063,0.8101613878945332,0.7516392226661998,-0.07336757153338225,-0.09475303888867863,0.09475303888867863
st_V2_high_takeoff_gt_1mm_max,0.7931034482758621,0.8297872340425532,0.40508069394726653,0.3758196113330999,-0.03668378576669107,-0.0947530388886785,0.0947530388886785
morph_V2_high_takeoff_gt_1mm_max,0.7931034482758621,0.8297872340425532,0.40508069394726653,0.3758196113330999,-0.03668378576669107,-0.0947530388886785,0.0947530388886785
st_V2_st_slope_j20_j80_min,-0.0005902298850574667,-0.0007801418439716222,0.00207471789727737,0.001978264391713321,0.0001899119589141555,0.09423492754454595,0.09423492754454595
