feature,mean_abs_shap,mean_shap,std_shap,shap_rank
st_V1_high_takeoff_gt_2mm_median,0.008315569180841269,0.0012620763800853662,0.020553279617001433,238
morph_V1_trough_depth_between_humps_max,0.008294584253371852,0.0031379131035053085,0.015844012156071147,239
sq_aVR_min,0.008294083119944732,-0.0014761319933151338,0.023689235195531736,240
morph_V1_covedness_score_max,0.008284417173925243,0.001389802551210022,0.0223813694520658,241
st_V3_rs_ratio_mean,0.00825720479755505,0.00029960602067780263,0.02404740212901417,242
sq_V5_range,0.008191465739437844,0.001600197226055396,0.016280801035252843,243
morph_V2_trough_depth_between_humps_std,0.008152946397949494,0.001141952416415708,0.016972286655238054,244
morph_V3_high_takeoff_gt_2mm_max,0.008015626445053436,0.0005080171346602821,0.016364440659264397,245
morph_V2_trough_depth_between_humps_max,0.008011103658077412,0.001137471471222998,0.015487650170014335,246
st_V3_st_slope_j20_j80_median,0.007965900723709505,0.002347065536600344,0.02149486278076135,247
morph_V2_t_amplitude_max,0.007892586704107515,0.0006510652512435067,0.019612304108843914,248
st_V2_st_j80_j0_ratio_max,0.007800361517580738,0.00039682417266461166,0.019064723025939492,249
st_V2_high_takeoff_gt_1mm_min,0.007793021574205926,0.0019446946735963318,0.024347041446732935,250
sq_V1_mean,0.007780485351931685,0.002056858513565835,0.019350306530671598,251
morph_V1_t_peak_value_std,0.00777825125821508,-8.237503214993278e-05,0.015102390745724312,252
st_V1_st_j40_j0_ratio_n_valid,0.007753882769254036,-0.00017634760865495926,0.017110625981593523,253
morph_V3_t_polarity_min,0.007739177666830274,-0.0016694278752343995,0.01658589837666657,254
sq_V6_range,0.007735081186400044,-0.0005685041232686308,0.020069911512370628,255
cl_mean_st_j40_v1v3,0.00764754903274418,-0.0006412375639847127,0.022056762884421106,256
morph_V2_high_takeoff_gt_2mm_std,0.0076370135881006496,0.0011350419610923646,0.024289579562116834,257
sq_V1_snr_proxy,0.007628993351094551,0.000641173169724955,0.017834484745063033,258
st_V3_r_amplitude_min,0.00754768515593235,-7.292786528441327e-05,0.016366010312585853,259
morph_V3_t_peak_value_std,0.007545273386470452,-0.0017691125005185693,0.014871315799539988,260
st_V3_st_curvature_sign_std,0.0075396295861641155,-0.0020759997424507994,0.020791427220404644,261
rr_mean_ms,0.007474183562640139,-0.0004106900940544062,0.01474846597578546,262
sq_V5_std,0.007467181726151003,0.0013078531230345642,0.021391243176961873,263
st_V3_st_area_above_baseline_median,0.007448628224925058,-0.001162341739417921,0.025001683583832677,264
morph_V1_high_takeoff_gt_2mm_mean,0.0073646952451486315,0.00048303334914742794,0.018078973891259013,265
st_V1_st_j40_min,0.007227404094904074,-0.0015232721199961493,0.01916448397916252,266
st_V2_st_j80_j0_ratio_median,0.007176382864617607,-5.891825839589874e-05,0.018201236115383407,267
morph_V1_covedness_score_std,0.0071682175589576425,-0.0007914013087174698,0.021549543012322026,268
morph_V1_t_peak_value_median,0.007142001571282522,0.0001208264398139709,0.017833251239371208,269
st_V3_rs_ratio_max,0.007136346578428682,0.0008174383033261969,0.019680157196223014,270
sq_III_rms,0.006999482023311615,0.0013195005364551938,0.02105958287034655,271
morph_V2_t_amplitude_mean,0.006996297538511373,-0.0011177208974249382,0.01651724681227592,272
st_V2_rs_ratio_n_valid,0.0069682465581166805,0.0004892068613608009,0.017314837095657766,273
st_V1_st_area_above_baseline_max,0.006967691161282363,0.0007923745159213615,0.01364117679731757,274
st_V3_rs_ratio_std,0.006958667408910985,-0.000737280260063402,0.020431325721064778,275
morph_V3_t_mean_n_valid,0.006851490261264068,-0.0006402170874650454,0.015163680944857752,276
sq_II_rms,0.006839472970081172,-0.00016010274479458304,0.0168033667022913,277
morph_V2_t_mean_mean,0.006833089149092666,-0.0022486304751399714,0.022752391598062967,278
morph_V2_t_mean_std,0.0068141874792336425,-0.00014235394591203456,0.02025210104612616,279
morph_V1_trough_depth_between_humps_median,0.00676668875314519,0.0006290786187408198,0.015894579044088347,280
sq_II_std,0.006740891666667254,-8.514828964575289e-05,0.01661700520153923,281
st_V1_st_j40_j0_ratio_mean,0.006683381844039977,0.001840773564622246,0.016446531073006615,282
morph_V2_t_mean_median,0.006619186449575312,-0.0018511205175044902,0.02716405594118572,283
st_V3_r_amplitude_max,0.006510531443938312,-0.0011221341331574134,0.019205926522872393,284
st_V2_s_amplitude_n_valid,0.00648129798048598,-0.0017828860411743723,0.01867959602367649,285
morph_V3_covedness_score_mean,0.006439638635305259,0.0015439486818275244,0.020018289599234566,286
st_V2_high_takeoff_gt_2mm_min,0.006422043810739649,-9.164872987211771e-05,0.017192213776555373,287
morph_V2_second_hump_amplitude_min,0.0062625652278668195,0.001514239676768782,0.01736137592977052,288
st_V2_st_j60_max,0.006244945853086533,-0.000538164726753539,0.014843749121388652,289
morph_V1_high_takeoff_gt_1mm_mean,0.006211175841353715,9.948779703130225e-05,0.01386974366907721,290
sq_I_range,0.006167085081853256,0.001227409141657721,0.01558908955085664,291
morph_V3_t_amplitude_max,0.006131871509803148,0.001046388272764334,0.01446836802108653,292
sq_V2_baseline_drift,0.005989954562565256,-0.0009747147005431084,0.01803947502109546,293
st_V3_st_convexity_mean,0.005905385196052433,0.0005546711232210393,0.017381585926948717,294
morph_V3_second_hump_present_max,0.005775097129717671,-0.0007049047840199837,0.01420987632878625,295
morph_V2_high_takeoff_gt_1mm_std,0.005774825324006772,0.00046736470891866347,0.014625624860706855,296
morph_V2_covedness_score_min,0.005654309594557292,-0.0010955041482757263,0.014350957737974672,297
morph_V3_high_takeoff_gt_1mm_std,0.005590722197076653,-0.001015915231414896,0.018454789208465033,298
st_V2_st_j80_max,0.005550677428848147,0.0011444840970200156,0.017835000316144368,299
st_V1_s_amplitude_min,0.005502543040646166,-0.0015708593619838589,0.015377813098824517,300
morph_V1_t_amplitude_min,0.005467858348893544,0.0007231264664039872,0.01477472372148787,301
hr_estimate_bpm,0.00544444729166089,-0.0010701732339527309,0.015766026900142293,302
morph_V1_t_peak_value_min,0.0054403715893708154,-0.00026706651499693924,0.013021947638755737,303
morph_V1_saddleback_score_min,0.0054175823843799235,-0.0013378603080128424,0.016450423719812986,304
st_V2_st_area_above_baseline_min,0.005379934302908319,-0.0010220467477790542,0.016059824415959083,305
st_V3_st_j60_n_valid,0.005198665962197884,0.0009917441026895222,0.015043940286662328,306
morph_V2_t_inversion_indicator_min,0.0051713282022799595,0.0003447487803571103,0.019327272199834704,307
