feature,native_importance_mean,native_importance_std
st_V1_st_j40_j0_ratio_std,0.030925526566045365,0.06915157964165308
st_V2_st_slope_j0_j40_std,0.02968228234214838,0.06637160104438546
morph_V3_t_polarity_mean,0.029055965312848347,0.06497111359140485
st_V3_st_j40_j0_ratio_median,0.0287730665479475,0.06433853272233582
morph_V3_t_mean_median,0.028137197891803033,0.06291668718243536
st_V2_high_takeoff_gt_1mm_max,0.0277730858371671,0.06210250787684229
st_V3_st_area_above_baseline_mean,0.02728608654812096,0.06095591572152327
st_V2_st_monotonicity_std,0.027246561920613394,0.03731554484510961
st_V2_st_j40_max,0.02718418555561373,0.0607856868153202
sq_aVR_rms,0.027132733671924574,0.06067063690582083
st_V1_st_curvature_sign_max,0.027032398462259355,0.0604462805564727
st_V3_rs_ratio_min,0.026587490022754633,0.059451435041976794
st_V1_j_point_amplitude_median,0.026428116635369557,0.05909506531397935
sq_V1_baseline_drift,0.0257031525595093,0.057473996359110505
sq_aVR_baseline_drift,0.024635826372071203,0.055087382449833244
sq_aVL_min,0.024424859750023765,0.05461564674195166
morph_V3_trough_depth_between_humps_min,0.02430865735775444,0.05435581029368936
st_V3_st_monotonicity_std,0.02426037825891499,0.05424785494679191
morph_V3_second_hump_present_max,0.024101792367473385,0.053893246113256084
morph_V3_t_peak_value_min,0.023247607026309788,0.03590317711090758
morph_V1_t_peak_value_mean,0.02316345063938189,0.05179505022311888
st_V3_j_point_amplitude_max,0.02223317710469885,0.04971489536189859
morph_V3_t_polarity_median,0.02129416678133687,0.047615204447287146
st_V2_s_amplitude_max,0.021175915364780425,0.04351099333744802
st_V1_st_monotonicity_mean,0.020725750676767747,0.046344187397964955
st_V1_st_monotonicity_median,0.020071289055188103,0.04488076672344812
morph_V3_second_hump_amplitude_max,0.019953375681755803,0.04461710440499718
morph_V1_high_takeoff_gt_1mm_median,0.019779673626508155,0.044228694801632024
st_V1_s_amplitude_median,0.01956613884242969,0.04375121650887183
st_V1_high_takeoff_gt_2mm_n_valid,0.019274402853719865,0.04309887500663356
morph_V1_covedness_score_mean,0.018422931266745685,0.041194926657249664
st_V1_st_j60_mean,0.017587001724522003,0.03932573137643723
st_V1_st_j60_max,0.01675476909497311,0.0374648026436725
st_V1_st_j40_j0_ratio_median,0.016742148433989638,0.03743658198779248
st_V2_st_monotonicity_median,0.016294502191119824,0.023506505052536215
st_V3_r_amplitude_mean,0.015799175067590588,0.03532802943955239
st_V3_st_j80_max,0.014962282261705512,0.03345668023571283
st_V3_st_j40_j0_ratio_min,0.014560974904495344,0.0325593297051201
morph_V1_second_hump_present_max,0.01408208271378208,0.03148849421279144
sq_V5_rms,0.014052880847632085,0.03142319685501021
sq_aVF_max,0.013748013679656857,0.030741493143309748
st_V3_st_j20_median,0.01351182835329394,0.03021336669827429
st_V3_st_j40_min,0.012704996827374387,0.017556639792988042
st_V1_st_area_above_baseline_median,0.012124568407586519,0.027111359157209833
morph_V3_second_hump_amplitude_min,0.01209939646742874,0.02705507298789148
morph_V3_high_takeoff_gt_2mm_mean,0.011189050933846357,0.02501947849178796
st_V1_st_j60_min,0.010212035300196761,0.022834805119867428
morph_V3_t_polarity_max,0.010103758579711181,0.022592691012480928
