feature_type,shap_V1,shap_V2,shap_V3,dominant_lead,v1v2v3_variance
morph_LEAD_second_hump_amplitude_max,0.0032773263810700207,0.0,0.0030806146271157363,V1,2.2521944670000794e-06
morph_LEAD_covedness_score_n_valid,0.016483527484398654,0.0,0.0,V1,6.037926185087242e-05
morph_LEAD_high_takeoff_gt_1mm_min,0.02566473907000865,0.0,0.0,V1,0.0001463730736736952
morph_LEAD_high_takeoff_gt_1mm_n_valid,0.0,0.0,0.0,V1,0.0
morph_LEAD_covedness_score_max,0.008284417173925262,0.0,0.008631571051959698,V3,1.5917344727965646e-05
morph_LEAD_saddleback_score_n_valid,0.0,0.0,0.0,V1,0.0
morph_LEAD_second_hump_amplitude_std,0.0,0.0,0.0040861991041188555,V3,3.710449581889275e-06
morph_LEAD_second_hump_present_max,0.003966491761111934,0.0,0.005775097129717675,V3,5.817317458665744e-06
morph_LEAD_high_takeoff_gt_1mm_max,0.009888524478173125,0.0,0.0,V1,2.172953696787313e-05
morph_LEAD_second_hump_present_median,0.0,0.0,0.0,V1,0.0
morph_LEAD_second_hump_present_min,0.015456914704167296,0.0,0.06884941022980383,V3,0.0008699906755132041
morph_LEAD_second_hump_present_n_valid,0.05110308371135355,0.0,0.0,V1,0.0005803389255132465
morph_LEAD_t_polarity_std,0.022122187260666618,0.0,0.010516059321374439,V1,8.163120873220949e-05
morph_LEAD_t_polarity_n_valid,0.0,0.0,0.013122014214102558,V3,3.8263834896691024e-05
morph_LEAD_t_polarity_min,0.031030298438148963,0.0,0.007739177666830295,V1,0.00017391673321150074
morph_LEAD_t_polarity_median,0.004673699926041047,0.0,0.001712599792273987,V1,3.7271758943742544e-06
morph_LEAD_t_polarity_max,0.003619719029868602,0.0,0.0014501913502997109,V1,2.2124745733436184e-06
morph_LEAD_t_polarity_mean,0.019173922116326847,0.0,0.004161123669303482,V1,6.781537296946139e-05
morph_LEAD_t_peak_value_mean,0.0023841101035845177,0.0,0.0,V1,1.26310688578084e-06
morph_LEAD_t_inversion_indicator_std,0.0,0.0,0.004733276357130243,V3,4.978645571770699e-06
morph_LEAD_second_hump_present_std,0.04823398193107795,0.0,0.027620291574332177,V1,0.00039048019441138593
morph_LEAD_t_inversion_indicator_median,0.0,0.0,0.005037604568002761,V3,5.639435507458286e-06
morph_LEAD_t_inversion_indicator_mean,0.0,0.0,0.0,V1,0.0
morph_LEAD_t_amplitude_median,0.04336636298703294,0.0,0.004437160892399239,V1,0.0003795347345814412
morph_LEAD_second_hump_present_mean,0.03011680303006779,0.0,0.016958946189702007,V1,0.00015197298636096326
st_LEAD_rs_ratio_mean,0.0,0.0,0.008257204797555059,V3,1.5151429126392511e-05
st_LEAD_rs_ratio_max,0.011242031084050324,0.0,0.007136346578428692,V1,2.1574150071322902e-05
st_LEAD_r_amplitude_std,0.019530926055836777,0.0,0.0,V1,8.476823835523641e-05
