feature,mean_abs_shap_brugada,mean_abs_shap_normal,mean_shap_brugada,mean_shap_normal,class_differential
st_V2_st_j20_max,0.05824103163598151,0.0704152504475107,0.046148130777230637,-0.002019852375845321,-0.012174218811529185
sq_II_noise_energy,0.05805205518879162,0.0664467277941018,0.026546598638156636,-0.0009985624712272158,-0.008394672605310176
morph_V1_t_amplitude_median,0.05522216438190196,0.040226847635081484,0.0365289320976559,-0.008369133996469711,0.014995316746820475
morph_V1_second_hump_present_std,0.05346429178132796,0.04684895214494898,0.020150551895065677,0.00019289262808586805,0.006615339636378975
st_V1_st_slope_j0_j40_std,0.05271369915859967,0.057900935226389345,0.02792491899423397,-0.00631503214832487,-0.0051872360677896745
morph_V2_t_peak_value_median,0.051798863994496826,0.042421949919287195,0.0006584957678263069,0.00793227608688824,0.00937691407520963
st_V2_st_j60_mean,0.05148930508778182,0.048390972270412815,0.025922820350326774,-0.007304045940012733,0.003098332817369008
morph_V3_t_amplitude_std,0.051057533490177415,0.03922137163683303,0.030824830899946382,-0.00599864547663345,0.011836161853344386
morph_V3_t_mean_max,0.05105745026075865,0.04312949599239015,0.017291070936725633,-0.0010825352857654963,0.007927954268368495
morph_V1_high_takeoff_gt_2mm_max,0.05041630027797316,0.05413174184513006,0.03708739008356227,-0.00958263163724167,-0.0037154415671568977
sq_aVF_rms,0.050403135529394544,0.04119362465436125,0.001908279779446782,0.004184023405073153,0.009209510875033293
morph_V2_t_peak_value_n_valid,0.04994801657099739,0.029933765049973488,0.025714734248161356,-0.003962226628272318,0.020014251521023905
morph_V1_t_amplitude_max,0.04926830060559471,0.04791717235784236,0.041387813901283634,0.0023185119737679657,0.0013511282477523465
st_V2_st_convexity_median,0.04905402305732036,0.030688545055580316,0.035092329704447776,-0.008765916782463743,0.018365478001740043
st_V1_st_j80_median,0.04767556363814753,0.056236092445387034,0.020389336300462378,-0.003340154322576537,-0.008560528807239502
st_V1_st_j20_mean,0.04718680562120613,0.04600111071909503,0.01313273591663393,-0.005721562537153735,0.0011856949021110952
morph_V3_high_takeoff_gt_2mm_min,0.04674818372378414,0.04294507555423452,0.021012991321469204,-0.006710469482291353,0.003803108169549624
st_V3_st_j20_min,0.046669094728514236,0.03894514593251942,0.026798014400318558,0.0024027803164942594,0.007723948795994813
sq_II_max,0.04656781294358594,0.04495070515353013,0.018021409716457135,0.0023384526071791043,0.001617107790055812
sq_III_snr_proxy,0.046138832633824664,0.039196527480157416,0.014294233515270456,0.0006643300901981729,0.006942305153667248
st_V1_st_curvature_sign_std,0.04561030951916778,0.03507785396111758,0.02459913959383571,-0.005549761198123567,0.0105324555580502
morph_V1_covedness_score_min,0.044053830504662474,0.036019837096404855,0.012808344694785765,0.000901058903548105,0.008033993408257618
morph_V2_high_takeoff_gt_1mm_mean,0.042684521465807305,0.04772199314749618,0.02506346656156604,-0.006817046164401954,-0.005037471681688874
st_V3_st_j40_n_valid,0.042348991602071,0.021137170815704046,0.02430206594841653,-0.002408231011290065,0.021211820786366953
sq_V1_min,0.04175504553082741,0.02497243191355681,0.01668004581116533,-0.004270312790093657,0.016782613617270598
st_V1_st_area_above_baseline_n_valid,0.04072254919407175,0.04585528511377963,0.023204967679645777,0.004611180129530729,-0.005132735919707879
