feature,perm_importance_mean,perm_importance_std_within,perm_importance_fold_std,perm_importance_min,perm_importance_max,perm_stable
st_V2_s_amplitude_min,0.00021052631578946844,0.00013969959350619026,0.0004707511531578387,0.0,0.0010526315789473422,False
st_V1_high_takeoff_gt_2mm_std,0.0002068965517241465,0.00016091954022988864,0.00046263475396549287,0.0,0.0010344827586207324,False
morph_V3_covedness_score_max,0.0002053505411037119,0.0009146689595546027,0.0011980482543544765,-0.001315789473684248,0.0020306513409962036,False
sq_V3_min,0.00020272904483430222,0.00026309059050959695,0.0004318519767968221,0.0,0.0009746588693957133,False
st_V3_st_area_above_baseline_min,0.00020047724675674802,0.0004041112795112213,0.0005220975822594916,-0.0004288499025341008,0.0009195402298850778,False
st_V1_st_j40_j0_ratio_mean,0.00019923371647513196,0.00045771752869454686,0.0005353026573662382,-0.00015325670498079387,0.0011494252873563908,False
morph_V2_t_peak_value_min,0.0001940411373260894,0.00032212639270429654,0.0005874533785911562,-0.00025584795321638155,0.0012260536398468285,False
morph_V2_saddleback_score_std,0.00019341937218526174,0.001209285902573046,0.000971240249660751,-0.000935672514619934,0.0011877394636015744,False
sq_aVL_std,0.00019320091416282251,0.0009649977594329877,0.0009555713557494737,-0.0011877394636015152,0.0012643678160920379,False
morph_V1_high_takeoff_gt_2mm_min,0.00018928547422195552,0.000525991899243805,0.0016944558596184444,-0.0020467836257310524,0.0027203065134100016,False
st_V2_j_point_amplitude_min,0.00018713450292398088,0.000152794681811045,0.00041844546947362337,0.0,0.0009356725146198489,False
st_V1_r_amplitude_min,0.00018684882704847065,0.0007651265340703524,0.00027861217556941943,-0.00010964912280704286,0.0004980842911877762,False
st_V1_r_amplitude_n_valid,0.00018157222558312132,0.0009932271308010316,0.0011952799760798593,-0.0014985380116959415,0.001264367816092001,False
morph_V2_t_peak_value_mean,0.00017933723196881542,0.00021872248916440066,0.00040101024157891354,0.0,0.000896686159844066,False
